Holder,Action,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_msg.started,start_msg.stopped,RespButton_start_trial.keys,RespButton_start_trial.rt,RespButton_start_trial.started,RespButton_start_trial.stopped,GREEN.started,GREEN.stopped,LEFT_RED.started,LEFT_RED.stopped,RIGHT_RED.started,RIGHT_RED.stopped,LEFT_CIRCLE.started,LEFT_CIRCLE.stopped,CENTER_CIRCLE.started,CENTER_CIRCLE.stopped,RIGHT_CIRCLE.started,RIGHT_CIRCLE.stopped,CORRECT,VALIDITY,RELEASE_TIME,TOUCH_TIME,BOTTLE_RESPONSE_POSITION,text.started,text.stopped,SOUND_DELAY_MS_LEFT,SOUND_DELAY_MS_RIGHT,pid,left_position,right_position,date,expName,psychopyVersion,frameRate,
left,stop,0,0,0,0,3,5,23,2,151.02698612213135,None,1,0.3506481647491455,151.02698612213135,None,151.50635313987732,None,152.49898505210876,152.85530614852905,152.49898505210876,152.85530614852905,151.50635313987732,None,151.50635313987732,None,151.50635313987732,None,0,3,482.435941696167,476.1974811553955,left,154.3415470123291,None,500,400,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,4,0,24,5,154.86796402931213,None,1,0.6639471054077148,154.86796402931213,None,155.65512108802795,None,156.64826607704163,157.00692200660706,156.64826607704163,157.00692200660706,155.65512108802795,None,155.65512108802795,None,155.65512108802795,None,0,3,408.62298011779785,415.755033493042,right,158.3643021583557,None,450,400,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,4,1,25,2,158.89292097091675,None,1,0.568979024887085,158.89292097091675,None,159.56296610832214,None,160.57855606079102,160.9176561832428,160.57855606079102,160.9176561832428,159.56296610832214,None,159.56296610832214,None,159.56296610832214,None,0,3,273.3027935028076,543.114185333252,left,162.25830101966858,None,450,350,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,4,2,26,2,162.76916813850403,None,1,0.36164093017578125,162.76916813850403,None,163.2504689693451,None,164.2449860572815,164.601576089859,164.2449860572815,164.601576089859,163.2504689693451,None,163.2504689693451,None,163.2504689693451,None,0,3,388.9453411102295,527.7571678161621,left,166.04713916778564,None,400,350,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,4,3,27,4,166.56638598442078,None,1,0.3592658042907715,166.56638598442078,None,167.04347205162048,None,168.0469160079956,168.39857602119446,168.0469160079956,168.39857602119446,167.04347205162048,None,167.04347205162048,None,167.04347205162048,None,1,3,293.90835762023926,457.09967613220215,right,169.6721270084381,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,4,4,28,5,170.18952703475952,None,1,0.3351449966430664,170.18952703475952,None,170.61015796661377,None,171.63252711296082,171.97728610038757,171.63252711296082,171.97728610038757,170.61015796661377,None,170.61015796661377,None,170.61015796661377,None,0,3,387.2833251953125,495.0602054595947,right,173.4028251171112,None,350,350,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,go,0,0,0,0,4,5,29,3,173.9120650291443,None,1,0.6416089534759521,173.9120650291443,None,174.63937401771545,None,175.64968609809875,176.00096011161804,175.64968609809875,176.00096011161804,174.63937401771545,None,174.63937401771545,None,174.63937401771545,None,1,3,490.2336597442627,577.9097080230713,right,177.59955310821533,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,go,0,0,0,0,5,0,30,1,178.11525011062622,None,1,0.3505098819732666,178.11525011062622,None,178.57983016967773,None,179.58327412605286,179.94441318511963,179.58327412605286,179.94441318511963,178.57983016967773,None,178.57983016967773,None,178.57983016967773,None,1,3,391.7393684387207,546.5025901794434,left,181.4014081954956,None,-1,-1,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
left,stop,0,0,0,0,5,1,31,2,181.9083170890808,None,1,0.3625218868255615,181.9083170890808,None,182.3900830745697,None,183.39430618286133,183.74413013458252,183.39430618286133,183.74413013458252,182.3900830745697,None,182.3900830745697,None,182.3900830745697,None,0,3,515.1045322418213,884.7975730895996,left,185.70227003097534,None,350,300,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
right,stop,0,0,0,0,5,2,32,5,186.20529103279114,None,1,0.6245768070220947,186.20529103279114,None,186.9361732006073,None,187.95153212547302,188.31906819343567,187.95153212547302,188.31906819343567,186.9361732006073,None,186.9361732006073,None,186.9361732006073,None,1,3,1058.1848621368408,-1.0,-1,192.89899015426636,None,300,300,Uma_pilot,icub,clamp,2021_Dec_17_1503,exp,2021.2.3,59.963515545922945,
